Iteration 176: 7.518 ms/op
Iteration 177: 1.562 ms/op
Iteration 178: 2.357 ms/op
Iteration 179: 5.484 ms/op
Iteration 180: 9.196 ms/op
Iteration 181: 4.608 ms/op
Iteration 182: 1.573 ms/op
Iteration 183: 8.446 ms/op
Iteration 184: 4.174 ms/op
Iteration 185: 1.936 ms/op
Iteration 186: 5.141 ms/op
Iteration 187: 1.657 ms/op
Iteration 188: 4.268 ms/op
Iteration 189: 1.765 ms/op
Iteration 190: 6.431 ms/op
Iteration 191: 6.874 ms/op
Iteration 192: 6.976 ms/op
Iteration 193: 7.017 ms/op
Iteration 194: 11.386 ms/op
Iteration 195: 3.191 ms/op
Iteration 196: 10.675 ms/op
Iteration 197: 3.602 ms/op
Iteration 198: 13.107 ms/op
Iteration 199: 16.206 ms/op
Iteration 200: 3.207 ms/op

# Run progress: 0.00% complete, ETA 50 days, 11:15:16
# Fork: 3 of 20
# Warmup Iteration   1: 7.330 ms/op
# Warmup Iteration   2: 6.100 ms/op
# Warmup Iteration   3: 6.239 ms/op
# Warmup Iteration   4: 9.553 ms/op
# Warmup Iteration   5: 7.113 ms/op
# Warmup Iteration   6: 11.512 ms/op
# Warmup Iteration   7: 6.155 ms/op
# Warmup Iteration   8: 11.157 ms/op
# Warmup Iteration   9: 5.126 ms/op
# Warmup Iteration  10: 6.221 ms/op
# Warmup Iteration  11: 7.458 ms/op
# Warmup Iteration  12: 10.408 ms/op
# Warmup Iteration  13: 8.061 ms/op
# Warmup Iteration  14: 10.894 ms/op
# Warmup Iteration  15: 14.660 ms/op
# Warmup Iteration  16: 11.407 ms/op
# Warmup Iteration  17: 5.685 ms/op
# Warmup Iteration  18: 10.883 ms/op
# Warmup Iteration  19: 28.570 ms/op
# Warmup Iteration  20: 7.295 ms/op
# Warmup Iteration  21: 7.472 ms/op
# Warmup Iteration  22: 10.497 ms/op
# Warmup Iteration  23: 7.686 ms/op
# Warmup Iteration  24: 11.312 ms/op
# Warmup Iteration  25: 8.126 ms/op
# Warmup Iteration  26: 15.176 ms/op
# Warmup Iteration  27: 2.490 ms/op
# Warmup Iteration  28: 9.972 ms/op
# Warmup Iteration  29: 6.636 ms/op
# Warmup Iteration  30: 7.302 ms/op
# Warmup Iteration  31: 8.310 ms/op
# Warmup Iteration  32: 8.149 ms/op
# Warmup Iteration  33: 4.815 ms/op
# Warmup Iteration  34: 8.884 ms/op
# Warmup Iteration  35: 9.854 ms/op
# Warmup Iteration  36: 6.829 ms/op
# Warmup Iteration  37: 9.352 ms/op
# Warmup Iteration  38: 5.975 ms/op
# Warmup Iteration  39: 3.950 ms/op
# Warmup Iteration  40: 7.493 ms/op
# Warmup Iteration  41: 3.307 ms/op
# Warmup Iteration  42: 13.370 ms/op
# Warmup Iteration  43: 6.541 ms/op
# Warmup Iteration  44: 9.837 ms/op
# Warmup Iteration  45: 2.569 ms/op
# Warmup Iteration  46: 9.330 ms/op
# Warmup Iteration  47: 2.813 ms/op
# Warmup Iteration  48: 11.267 ms/op
# Warmup Iteration  49: 2.810 ms/op
# Warmup Iteration  50: 7.573 ms/op
Iteration   1: 12.342 ms/op
Iteration   2: 7.467 ms/op
Iteration   3: 2.965 ms/op
Iteration   4: 7.508 ms/op
Iteration   5: 4.449 ms/op
Iteration   6: 10.276 ms/op
Iteration   7: 3.453 ms/op
Iteration   8: 11.337 ms/op
Iteration   9: 7.386 ms/op
Iteration  10: 3.561 ms/op
Iteration  11: 7.651 ms/op
Iteration  12: 7.173 ms/op
Iteration  13: 13.863 ms/op
Iteration  14: 8.941 ms/op
Iteration  15: 2.800 ms/op
Iteration  16: 7.690 ms/op
Iteration  17: 5.801 ms/op
Iteration  18: 7.446 ms/op
Iteration  19: 10.001 ms/op
Iteration  20: 9.411 ms/op
Iteration  21: 8.898 ms/op
Iteration  22: 8.070 ms/op
Iteration  23: 9.111 ms/op
Iteration  24: 13.666 ms/op
Iteration  25: 12.293 ms/op
Iteration  26: 18.083 ms/op
Iteration  27: 13.429 ms/op
Iteration  28: 11.389 ms/op
Iteration  29: 7.154 ms/op
Iteration  30: 14.147 ms/op
Iteration  31: 10.315 ms/op
Iteration  32: 5.721 ms/op
Iteration  33: 10.037 ms/op
Iteration  34: 4.827 ms/op
Iteration  35: 7.839 ms/op
Iteration  36: 5.882 ms/op
Iteration  37: 5.581 ms/op
Iteration  38: 1.787 ms/op
Iteration  39: 4.536 ms/op
Iteration  40: 4.840 ms/op
Iteration  41: 6.322 ms/op
Iteration  42: 2.425 ms/op
Iteration  43: 1.707 ms/op
Iteration  44: 7.996 ms/op
Iteration  45: 7.008 ms/op
Iteration  46: 7.237 ms/op
Iteration  47: 7.991 ms/op
Iteration  48: 5.260 ms/op
Iteration  49: 6.164 ms/op
Iteration  50: 7.683 ms/op
Iteration  51: 2.866 ms/op
Iteration  52: 5.745 ms/op
Iteration  53: 6.470 ms/op
Iteration  54: 15.174 ms/op
Iteration  55: 11.067 ms/op
Iteration  56: 7.367 ms/op
Iteration  57: 6.713 ms/op
Iteration  58: 7.373 ms/op
Iteration  59: 3.420 ms/op
Iteration  60: 7.577 ms/op
Iteration  61: 2.639 ms/op
Iteration  62: 8.891 ms/op
Iteration  63: 2.195 ms/op
Iteration  64: 8.066 ms/op
Iteration  65: 2.880 ms/op
Iteration  66: 5.317 ms/op
Iteration  67: 9.493 ms/op
Iteration  68: 4.412 ms/op
Iteration  69: 9.745 ms/op
Iteration  70: 6.070 ms/op
Iteration  71: 12.017 ms/op
Iteration  72: 4.989 ms/op
Iteration  73: 8.519 ms/op
Iteration  74: 3.307 ms/op
Iteration  75: 4.398 ms/op
Iteration  76: 3.664 ms/op
Iteration  77: 14.564 ms/op
Iteration  78: 13.072 ms/op
Iteration  79: 2.135 ms/op
Iteration  80: 2.959 ms/op
Iteration  81: 5.734 ms/op
Iteration  82: 3.906 ms/op
Iteration  83: 2.608 ms/op
Iteration  84: 5.285 ms/op
Iteration  85: 2.195 ms/op
Iteration  86: 3.930 ms/op
Iteration  87: 3.798 ms/op
Iteration  88: 3.637 ms/op
Iteration  89: 3.563 ms/op
Iteration  90: 3.861 ms/op
Iteration  91: 6.296 ms/op
Iteration  92: 4.876 ms/op
Iteration  93: 1.985 ms/op
Iteration  94: 1.623 ms/op
Iteration  95: 3.131 ms/op
Iteration  96: 4.053 ms/op
Iteration  97: 4.069 ms/op
Iteration  98: 8.290 ms/op
Iteration  99: 4.489 ms/op
Iteration 100: 9.007 ms/op
Iteration 101: 10.765 ms/op
Iteration 102: 2.548 ms/op
Iteration 103: 7.004 ms/op
Iteration 104: 9.758 ms/op
Iteration 105: 4.191 ms/op
Iteration 106: 6.309 ms/op
Iteration 107: 10.798 ms/op
Iteration 108: 9.739 ms/op
Iteration 109: 8.636 ms/op
Iteration 110: 7.831 ms/op
Iteration 111: 8.799 ms/op
Iteration 112: 4.584 ms/op
Iteration 113: 8.162 ms/op
Iteration 114: 6.899 ms/op
Iteration 115: 7.648 ms/op
Iteration 116: 3.936 ms/op
Iteration 117: 4.542 ms/op
Iteration 118: 6.516 ms/op
Iteration 119: 8.628 ms/op
Iteration 120: 12.313 ms/op
Iteration 121: 5.573 ms/op
Iteration 122: 6.711 ms/op
Iteration 123: 5.713 ms/op
Iteration 124: 3.635 ms/op
Iteration 125: 6.213 ms/op
Iteration 126: 1.997 ms/op
Iteration 127: 6.137 ms/op
Iteration 128: 1.987 ms/op
Iteration 129: 10.532 ms/op
Iteration 130: 2.102 ms/op
Iteration 131: 2.496 ms/op
Iteration 132: 4.657 ms/op
Iteration 133: 10.560 ms/op
Iteration 134: 3.775 ms/op
Iteration 135: 7.881 ms/op
Iteration 136: 3.503 ms/op
Iteration 137: 15.116 ms/op
Iteration 138: 2.869 ms/op
Iteration 139: 8.654 ms/op
Iteration 140: 7.811 ms/op
Iteration 141: 9.099 ms/op
Iteration 142: 9.768 ms/op
Iteration 143: 5.602 ms/op
Iteration 144: 7.894 ms/op
